,geohash8,decision_date,decision_type
585,dhtwz2wz,2023-08-01,repair
586,dhtwz28g,2022-10-01,repair
587,dhtwz28g,2023-01-01,repair
588,dhtwz2z1,2022-11-01,repair
589,dhtwz2z1,2023-01-01,repair
590,dhtwz30f,2022-10-01,repair
591,dhtwz30f,2022-12-01,repair
592,dhtwz29x,2022-12-01,repair
593,dhtwz29x,2023-04-01,repair
594,dhtwyb2y,2023-05-01,repair
595,dhtwz0rz,2023-01-01,repair
596,dhtwz2yg,2022-11-01,repair
597,dhtwz2yg,2022-11-01,repair
598,dhtwz30f,2023-06-01,repair
599,dhtz07h0,2022-10-01,repair
600,dhtwz293,2022-11-01,repair
601,dhtwz293,2023-05-01,repair
602,dhtwz29p,2023-01-01,repair
603,dhtwz2cr,2022-10-01,repair
604,dhtwz2cr,2023-03-01,repair
605,dhtwyb91,2023-03-01,repair
606,dhtwyb91,2023-07-01,repair
607,dhtwz2z8,2022-12-01,repair
608,dhtwz2z8,2023-01-01,repair
609,dhtwz2z8,2023-06-01,repair
610,dhtwz22p,2022-11-01,repair
611,dhtybz2t,2023-01-01,repair
612,dhtybjdg,2022-11-01,repair
613,dhtybjdg,2022-12-01,repair
614,dhtybjdg,2023-05-01,repair
615,dhtwz2c4,2022-10-01,repair
616,dhtwwxc4,2023-02-01,repair
617,dhtwz2vf,2022-12-01,repair
618,dhtwz2w7,2022-10-01,repair
619,dhtwz2w7,2022-12-01,repair
620,dhtwz29r,2023-01-01,repair
621,dhtwz29r,2023-04-01,repair
622,dhtwz2z8,2023-03-01,repair
623,dhtwz2z8,2023-03-01,repair
624,dhtwz2z8,2023-06-01,repair
625,dhtwz2yg,2022-11-01,repair
626,dhtwz2yg,2023-04-01,repair
627,dhtwz2yg,2023-06-01,repair
628,dhtwyb95,2022-08-01,repair
629,dhtwz2u6,2022-07-01,repair
630,dhtwz2u6,2023-03-01,repair
631,dhtz0c3x,2023-06-01,repair
632,dhtz0c3x,2023-06-01,repair
633,dhtwwx2c,2023-04-01,repair
634,dhtwwx2c,2023-04-01,repair
635,dhtwz2w7,2022-12-01,repair
636,dhtwz2w7,2023-02-01,repair
637,dhtwz2vg,2022-11-01,repair
638,dhtwz2vg,2022-11-01,repair
639,dhtwz2vg,2023-02-01,repair
640,dhtwz2vg,2023-03-01,repair
641,dhtwz2vg,2023-04-01,repair
642,dhtwz2zd,2023-03-01,repair
643,dhtwz2zd,2023-03-01,repair
644,dhtwz2zd,2023-04-01,repair
645,dhtwz2zd,2023-05-01,repair
646,dhtwz2e0,2023-06-01,repair
647,dhtyb533,2022-10-01,repair
648,dhtz03bt,2022-11-01,repair
649,dhtz03bt,2022-03-01,repair
650,dhtwz2ze,2023-02-01,repair
651,dhtwz2ze,2023-02-01,repair
652,dhtwz2zc,2022-12-01,repair
653,dhtwz2zc,2023-04-01,repair
654,dhtwz2z0,2022-12-01,repair
655,dhtwz2z0,2023-03-01,repair
656,dhtwz2v7,2022-11-01,repair
657,dhtwz2v7,2022-11-01,repair
658,dhtwz2v7,2022-11-01,repair
659,dhtwz2v7,2022-12-01,repair
660,dhtwz2v7,2022-12-01,repair
661,dhtwz2v7,2023-01-01,repair
662,dhtwwxbv,2023-08-01,repair
663,dhtyb5wb,2023-03-01,repair
664,dhtyb5wb,2023-07-01,repair
665,dhtwz2w9,2022-07-01,repair
666,dhtwwx2c,2023-03-01,repair
667,dhtwz2b8,2022-11-01,repair
668,dhtyb5w8,2023-06-01,repair
669,dhtwz2c2,2022-10-01,repair
670,dhtwz8b0,2022-12-01,repair
671,dhtwy833,2022-12-01,repair
672,dhtwzhhp,2023-04-01,repair
673,dhtwzhhp,2023-04-01,repair
674,dhtwzhhp,2023-09-01,repair
675,dhtwz22u,2022-07-01,repair
676,dhtwz22u,2022-12-01,repair
677,dhtwz22u,2023-08-01,repair
